Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Total HDB Dwellings,"183,046.00","184,248.00","185,589.00","184,423.00","183,668.00","185,863.00","185,583.00","184,184.00","189,599.00","201,936.00","205,486.00","211,443.00","218,221.00","219,254.00","216,055.00","215,017.00","211,026.00","208,219.00","203,941.00","197,454.00"
            HDB 1- And 2-room Flats,"5,982.00","5,327.00","5,139.00","5,014.00","4,982.00","4,996.00","5,013.00","5,069.00","5,334.00","5,689.00","6,184.00","7,081.00","8,071.00","8,974.00","9,581.00","10,033.00","10,218.00","10,523.00","10,299.00","9,939.00"
            HDB 3-room Flats,"52,895.00","49,198.00","45,861.00","42,597.00","39,925.00","38,314.00","36,356.00","34,678.00","34,136.00","34,979.00","34,191.00","34,270.00","34,252.00","33,620.00","32,658.00","31,694.00","30,481.00","29,373.00","28,619.00","27,918.00"
            HDB 4-room Flats,"75,437.00","78,151.00","81,007.00","81,341.00","81,742.00","83,192.00","83,475.00","82,811.00","84,696.00","89,534.00","90,636.00","92,261.00","94,145.00","93,938.00","91,746.00","90,525.00","88,330.00","86,804.00","84,571.00","81,519.00"
            HDB 5-room And Executive Flats,"47,144.00","50,074.00","52,427.00","54,511.00","56,104.00","58,495.00","59,849.00","60,754.00","64,619.00","70,879.00","73,581.00","77,032.00","80,895.00","82,014.00","81,744.00","82,515.00","81,762.00","81,519.00","80,452.00","78,078.00"
        Condominiums & Other Apartments,"10,869.00","12,019.00","12,945.00","13,645.00","14,546.00","15,745.00","16,562.00","16,789.00","17,267.00","19,244.00","20,575.00","21,898.00","23,409.00","24,705.00","25,721.00","27,421.00","29,040.00","30,866.00","32,063.00","32,712.00"
        Landed Properties,"16,306.00","16,431.00","15,952.00","15,820.00","15,677.00","16,025.00","16,180.00","16,190.00","16,908.00","18,584.00","19,059.00","19,909.00","20,745.00","20,678.00","20,198.00","20,045.00","19,369.00","18,851.00","18,339.00","17,615.00"
        Other Types Of Dwelling,"2,015.00","1,938.00","1,827.00","1,524.00","1,326.00","1,318.00","1,306.00","1,322.00","1,611.00","1,989.00","2,070.00","1,819.00","2,131.00","2,252.00","1,944.00","1,644.00","1,419.00","1,136.00","1,173.00","1,298.00"
25-29 Years,"267,161.00","262,754.00","262,720.00","250,878.00","246,713.00","247,799.00","251,659.00","254,523.00","263,114.00","274,308.00","272,639.00","262,606.00","254,582.00","255,615.00","265,659.00","271,030.00","279,988.00","290,198.00","291,631.00","288,194.00"
        Total HDB Dwellings,"234,929.00","229,210.00","227,740.00","217,438.00","212,640.00","212,425.00","214,873.00","217,963.00","226,896.00","236,524.00","233,875.00","225,138.00","217,667.00","217,281.00","223,675.00","227,079.00","232,715.00","238,980.00","238,548.00","234,747.00"
            HDB 1- And 2-room Flats,"7,009.00","5,713.00","4,981.00","4,429.00","4,377.00","4,466.00","4,541.00","4,990.00","5,333.00","5,707.00","6,155.00","6,851.00","7,381.00","8,112.00","8,676.00","9,007.00","9,361.00","9,795.00","9,746.00","9,824.00"
            HDB 3-room Flats,"65,724.00","61,375.00","58,114.00","53,493.00","49,982.00","48,306.00","47,401.00","47,320.00","48,506.00","50,139.00","47,719.00","44,114.00","40,963.00","38,954.00","39,346.00","38,757.00","38,610.00","38,372.00","37,536.00","36,181.00"
            HDB 4-room Flats,"97,638.00","96,891.00","98,617.00","94,517.00","92,453.00","92,390.00","94,012.00","95,678.00","100,106.00","105,237.00","104,784.00","101,614.00","98,878.00","98,684.00","101,071.00","103,016.00","104,673.00","107,387.00","107,056.00","105,008.00"
            HDB 5-room And Executive Flats,"63,225.00","63,954.00","64,953.00","64,168.00","65,042.00","66,451.00","68,103.00","69,147.00","72,214.00","74,659.00","74,469.00","71,925.00","69,832.00","70,994.00","74,304.00","76,090.00","79,844.00","83,426.00","84,210.00","83,734.00"
        Condominiums & Other Apartments,"12,701.00","14,971.00","16,654.00","16,698.00","17,579.00","18,875.00","20,115.00","20,022.00","19,107.00","20,111.00","20,898.00","20,179.00","19,695.00","20,438.00","22,606.00","24,241.00","26,765.00","30,134.00","32,353.00","33,127.00"
        Landed Properties,"16,814.00","16,089.00","15,954.00","14,620.00","14,491.00","14,577.00","14,727.00","14,508.00","14,810.00","15,044.00","15,481.00","15,273.00","15,313.00","16,145.00","17,644.00","18,033.00","19,014.00","19,711.00","19,460.00","19,092.00"
        Other Types Of Dwelling,"2,717.00","2,484.00","2,372.00","2,122.00","2,003.00","1,922.00","1,944.00","2,030.00","2,301.00","2,629.00","2,385.00","2,016.00","1,907.00","1,751.00","1,734.00","1,677.00","1,494.00","1,373.00","1,270.00","1,228.00"
30-34 Years,"290,290.00","286,690.00","289,184.00","287,304.00","290,489.00","293,414.00","293,251.00","294,453.00","289,817.00","297,240.00","298,687.00","297,555.00","295,396.00","296,870.00","292,287.00","290,619.00","285,544.00","279,340.00","281,397.00","293,446.00"
        Total HDB Dwellings,"255,755.00","249,771.00","250,498.00","248,949.00","250,079.00","250,802.00","248,802.00","249,368.00","247,159.00","253,442.00","253,751.00","253,474.00","252,074.00","253,094.00","248,551.00","245,125.00","239,090.00","231,766.00","231,391.00","239,934.00"
            HDB 1- And 2-room Flats,"6,203.00","5,302.00","4,765.00","4,410.00","4,360.00","4,351.00","4,312.00","4,302.00","4,324.00","4,536.00","4,823.00","5,345.00","6,009.00","6,841.00","7,201.00","7,450.00","7,539.00","7,448.00","7,393.00","7,383.00"
            HDB 3-room Flats,"58,334.00","55,058.00","53,913.00","52,193.00","50,534.00","50,232.00","49,685.00","50,265.00","50,437.00","52,457.00","51,972.00","50,770.00","48,882.00","47,335.00","45,975.00","44,011.00","41,834.00","39,536.00","38,329.00","38,725.00"
            HDB 4-room Flats,"107,258.00","104,074.00","104,010.00","102,949.00","103,512.00","103,960.00","103,497.00","104,010.00","104,185.00","108,261.00","109,965.00","112,331.00","114,430.00","117,201.00","117,276.00","117,891.00","116,767.00","113,732.00","113,842.00","117,831.00"
            HDB 5-room And Executive Flats,"82,896.00","84,395.00","86,981.00","88,795.00","91,112.00","91,675.00","90,683.00","90,137.00","87,692.00","87,620.00","86,374.00","84,543.00","82,284.00","81,338.00","77,864.00","75,607.00","72,790.00","71,050.00","71,827.00","75,995.00"
        Condominiums & Other Apartments,"17,554.00","20,483.00","22,583.00","23,143.00","25,197.00","27,376.00","29,243.00","29,360.00","26,880.00","27,513.00","28,731.00","28,321.00","27,818.00","28,193.00","28,575.00","30,522.00","31,824.00","33,357.00","35,412.00","38,005.00"
